12:46:16.845 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
12:46:16.853 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 2
12:46:18.045 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:46:18.064 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:46:18.065 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
12:46:18.073 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:46:19.068 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
12:46:19.089 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
12:46:19.094 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 2
12:46:30.507 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:46:30.522 [TestNG-tests-1] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:46:30.523 [TestNG-tests-1] INFO  BasePackage.BaseClass - Navigate back to the home page
12:46:30.530 [TestNG-tests-1] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:46:32.186 [TestNG-tests-1] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
12:46:32.416 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
12:46:32.435 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
12:46:32.435 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
12:46:32.445 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
12:46:33.910 [TestNG-tests-2] INFO  BasePackage.BaseClass - Writing the data in the workbook to the final file
12:46:35.105 [TestNG-tests-1] INFO  BasePackage.BaseClass - WebDriver has been closed.
12:46:36.728 [TestNG-tests-2] INFO  BasePackage.BaseClass - WebDriver has been closed.
12:55:42.108 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
